# Bridge edges
144	434
336	614
444	687
444	788
357	898
451	839
383	794
456	586
318	746
542	889
393	656
493	734
459	613
530	721
514	769
303	789
353	662
353	755
488	654
306	754
269	892
261	640
298	739
454	639
436	773
436	815
243	615
354	733
396	735
252	668
252	808
252	880
231	642
262	859
327	643
159	609
228	855
291	588
291	685
208	874
119	714
265	595
265	713
265	801
133	838
251	772
251	848
282	555
273	846
191	895
229	793
526	864
154	807
154	844
151	743
90	860
92	645
121	759
121	760
129	837
194	726
194	778
194	806
194	816
103	280
98	698
98	710
123	723
135	824
52	899
70	665
22	147
75	669
75	786
82	765
59	814
59	827
59	828
59	877
59	897
31	627
36	818
37	558
37	655
8	590
26	875
26	879
10	858
10	876
10	883
13	791
417	574
11	417
11	852
4	822
